text_id,span_text,label,start_char,end_char
text_193,Тараса Мельничука,PERS,38,55
text_196,Уторопах,LOC,34,42
text_197,десять літ,PERIOD,16,26
text_198,Вітмена,PERS,33,40
text_200,Ходорів,LOC,19,26
text_200,Калинця,PERS,41,48
text_202,десятій,TIME,43,50
text_203,Брустурів,LOC,62,71
text_205,Карпати,LOC,54,61
text_206,Світло і сповідь,ART,42,58
text_209,Лорку,PERS,33,38
text_209,Вітмена,PERS,61,68
text_210,Тарасові,PERS,25,33
text_211,Довган,PERS,7,13
text_211,Коцьким,PERS,94,101
text_211,Зеньо,PERS,122,127
text_211,Тисмениці,LOC,143,152
text_211,Славко,PERS,166,172
text_214,Довгана,PERS,38,45
text_215,Тарасом,PERS,30,37
text_216,Довгановій,PERS,23,33
text_216,Микитинцях,LOC,44,54
text_216,Тарас,PERS,108,113
text_216,Вітмена,PERS,134,141
text_218,Дністер,LOC,9,16
text_219,Львова,LOC,41,47
text_219,Дністер,LOC,50,57
text_220,Галичі,LOC,58,64
text_221,Станіславі,LOC,8,18
text_221,Крилоса,LOC,49,56
text_222,Золотий Тік,LOC,66,77
text_224,Галич,LOC,64,69
text_224,Бурштин,LOC,72,79
text_224,Рогатин,LOC,82,89
text_225,Черче,LOC,8,13
text_225,Підкамінь,LOC,16,25
text_226,Баворовського,PERS,38,51
text_226,Моцарта,PERS,61,68
text_226,Франц Ксавер,PERS,71,83
text_226,Боже,PERS,107,111
text_226,шістнадцять літ,PERIOD,141,156
text_229,Бібрка,LOC,9,15
text_231,Марійка Габлевич,PERS,24,40
text_231,Бібрці,LOC,45,51
text_235,Сихові,LOC,2,8
text_236,Сихівський пустир,LOC,34,51
text_239,Акрополя,LOC,6,14
text_242,Зелена,LOC,45,51
text_242,Волоською дорогою,LOC,81,98
text_244,Коломию,LOC,20,27
text_244,Чернівці,LOC,30,38
text_246,Тисмениці,LOC,32,41
text_247,Погулянку,LOC,28,37
text_249,Волинським шляхом,LOC,23,40
text_249,Полтви,LOC,64,70
text_249,Волоський шлях,LOC,94,108
text_250,Віктор,PERS,2,8
text_250,Волинським шляхом,LOC,27,44
text_250,Кременця,LOC,47,55
text_252,театру Скарбка,LOC,43,57
text_252,Оперного,LOC,61,69
text_252,Оперний,LOC,73,80
text_252,Полтві,LOC,91,97
text_253,Оперний,LOC,79,86
text_254,Оперного,LOC,39,47
text_254,Полтва,LOC,78,84
text_254,Буга,LOC,109,113
text_254,Північне море,LOC,128,141
text_255,Тисмениці,LOC,36,45
text_255,Володимирко,PERS,97,108
text_255,тисяча якомусь там літі,DATE,124,147
text_255,Козина,LOC,179,185
text_255,Вікторові,PERS,190,199
text_255,Кременецької гори Бони,LOC,209,231
text_255,століття,PERIOD,308,316
text_255,Полтви,LOC,397,403
text_256,Зеленою,LOC,25,32
text_256,Стрийського парку,LOC,100,117
text_256,Залізна Вода,LOC,147,159
text_256,Погулянка,LOC,197,206
text_256,Пасічна,LOC,219,226
text_256,Володі Ямінського,PERS,285,302
text_256,Медовій Печері,LOC,306,320
text_257,Майорівки,LOC,4,13
text_257,Погулянку,LOC,43,52
text_262,Погулянку,LOC,52,61
text_263,Різдва,MISC,46,52
text_264,Марією,PERS,14,20
text_265,Віктор,PERS,116,122
text_265,Панну Інну,ART,142,152
text_266,Чорновіл,PERS,7,15
text_266,Литвину,PERS,21,28
text_266,Миколо,PERS,36,42
text_267,Чорна рілля ізорана,ART,28,47
text_268,Відшукування причетного,ART,55,78
text_269,Марія,PERS,81,86
text_269,Шекспірових,PERS,170,181
text_273,Любартом Ліщинським,PERS,46,65
text_275,Весіллі,ART,96,103
text_275,Виспянського,PERS,106,118
text_275,Польському театрі,LOC,121,138
text_276,Ринку,LOC,115,120
text_276,Львові,LOC,123,129
text_277,тридцять три роки,PERIOD,34,51
text_277,Львів,LOC,62,67
text_277,Києва,LOC,70,75
text_277,Тисмениці,LOC,86,95
text_277,кілька годин,PERIOD,217,229
text_278,Високого замку,LOC,49,63
text_278,Юра,LOC,74,77
text_278,Погулянки,LOC,134,143
text_278,Медової Печери,LOC,149,163
text_278,Ходорів,LOC,372,379
text_278,Бурштин,LOC,382,389
text_278,Галич,LOC,392,397
text_278,Дністер,LOC,405,412
text_278,Тисмениця,LOC,424,433
text_282,Стрийський парк,LOC,60,75
text_284,вулиця Франка,LOC,45,58
text_285,Цитаделі,LOC,32,40
text_285,горою Вороновських,LOC,58,76
text_286,минулого року,DATE,21,34
text_286,під вечір,TIME,35,44
text_286,субота,DATE,65,71
text_287,Петровими,PERS,69,78
text_287,Петро,PERS,154,159
text_291,доктор,JOB,233,239
text_291,Анґер,PERS,240,245
text_291,Петровими,PERS,302,311
text_297,Петро,PERS,405,410
text_297,Доктора,JOB,448,455
text_297,Тереза,PERS,502,508
text_302,Петрове,PERS,18,25
text_310,Петрового,PERS,51,60
text_311,Петро,PERS,33,38
text_311,Аделя,PERS,82,87
text_311,доктором,JOB,163,171
text_311,Анґером,PERS,172,179
text_312,Петро,PERS,40,45
text_313,Стефцю,PERS,38,44
text_316,доктор,JOB,55,61
text_322,Габерів,PERS,145,152
text_325,Аделею,PERS,5,11
text_327,Петро,PERS,117,122
text_327,Аделину,PERS,139,146
text_328,Анґер,PERS,7,12
text_328,Терезі,PERS,29,35
text_329,Аделі,PERS,33,38
text_329,Воднецький,PERS,87,97
text_329,Ріхтер,PERS,101,107
text_330,Кракові,LOC,42,49
text_330,Берліні,LOC,53,60
text_330,Відні,LOC,74,79
text_331,Аделя,PERS,71,76
text_332,Пінкаса Ріттера,PERS,284,299
text_333,Maria-Theresienbouillon,MISC,59,82
text_333,Гофбурґа,PERS,255,263
text_333,Франца-Йосифа І,PERS,298,313
text_334,Галичину,LOC,43,51
text_335,Аделю,PERS,20,25
text_335,Аделя,PERS,235,240
text_336,Аделею,PERS,183,189
text_341,Петро,PERS,2,7
text_341,Аделя,PERS,31,36
text_342,Аделею,PERS,42,48
text_343,Петра,PERS,17,22
text_344,Аделі,PERS,21,26
text_345,Петро,PERS,39,44
text_346,Аделі,PERS,3,8
text_350,Петро,PERS,5,10
text_350,Липовій,LOC,103,110
text_358,Урмана,PERS,175,181
text_367,Петро,PERS,80,85
text_369,Петро,PERS,47,52
text_373,Петро,PERS,51,56
text_373,Відні,LOC,112,117
text_373,Пасічній,LOC,192,200
text_382,Петро,PERS,4,9
text_390,Аліна,PERS,85,90
text_395,Василечку,PERS,77,86
text_397,Аліна,PERS,25,30
text_401,Аліна,PERS,88,93
text_402,п'ять секунд,PERIOD,3,15
text_407,Мопассана,PERS,58,67
text_409,Аліна,PERS,6,11
text_415,Аліні,PERS,56,61
text_418,Віднесені вітром,ART,114,130
text_418,Маргарет Мітчелл,PERS,133,149
text_419,Аліні,PERS,34,39
text_420,Скарлет,PERS,93,100
text_423,Алінка,PERS,7,13
text_424,Ірино,PERS,13,18
text_426,Василю,PERS,39,45
text_428,Вольтера,PERS,3,11
text_435,тиждень,PERIOD,21,28
text_437,Аліна,PERS,62,67
text_438,Студентську алею,LOC,18,34
text_440,пару хвилин,PERIOD,12,23
text_447,Аліну,PERS,38,43
text_447,Академії,ORG,54,62
text_450,кілька метрів,QUANT,40,53
text_451,Аліні,PERS,77,82
text_457,Аліна,PERS,9,14
text_457,Фройд,PERS,107,112
text_457,Далі,PERS,126,130
text_457,Ґала,PERS,160,164
text_457,Аліна,PERS,272,277
text_458,Академії,ORG,88,96
text_461,Аліна,PERS,35,40
text_462,Стрийському парку,LOC,18,35
text_465,дві з половиною години,PERIOD,20,42
text_466,Троя,ART,11,15
text_467,Бреда Піта,PERS,31,41
text_467,Ахіллеса,PERS,49,57
text_468,п'ята година,TIME,5,17
text_469,восьмої,TIME,3,10
text_470,Аліна,PERS,10,15
text_473,острів Невезіння,MISC,71,87
text_473,Країна Дурнів,MISC,91,104
text_474,Сергієм Мержинським,PERS,81,100
text_474,Леся,PERS,117,121
text_474,Ялти,LOC,135,139
text_475,Мержинському,PERS,10,22
text_475,Порвалася нескінчена розмова,ART,43,71
text_476,Леся,PERS,29,33
text_476,Ай-Петрі,LOC,55,63
text_477,Ломикамінь,MISC,20,30
text_478,Леся,PERS,27,31
text_478,матері-України,LOC,95,109
text_478,Поетеса,JOB,112,119
text_478,Україна,LOC,337,344
text_478,Ялта,LOC,538,542
text_478,поетеса,JOB,576,583
text_479,Климента Квітку,PERS,69,84
text_481,1907 р .,DATE,2,10
text_481,Крим,LOC,40,44
text_481,Климента Квітку,PERS,72,87
text_482,Климент,PERS,34,41
text_482,Лесю,PERS,58,62
text_482,9 років,PERIOD,66,73
text_484,Квітка,PERS,17,23
text_484,Лесю,PERS,35,39
text_484,Крим,LOC,215,219
text_485,Леся,PERS,18,22
text_485,Кленею,PERS,44,50
text_486,Квітку,PERS,26,32
text_486,37 років,PERIOD,47,55
text_487,поетеса,JOB,49,56
text_487,Квітка,PERS,102,108
text_488,Леся,PERS,74,78
text_489,Крим,LOC,63,67
text_489,Климент,PERS,70,77
text_491,Ялту,LOC,16,20
text_492,Амвросій Метлинський,PERS,58,78
text_492,Степан Руданський,PERS,81,98
text_492,Христя Алчевська,PERS,101,117
text_492,Дніпрова Чайка,PERS,120,134
text_492,Михайло Коцюбинський,PERS,137,157
text_492,Микола Чернявський,PERS,160,178
text_492,Агатангел Кримський,PERS,181,200
text_492,Олександр Олесь,PERS,203,218
text_492,Охріменків,PERS,235,245
text_493,Ялті,LOC,2,6
text_493,1904 до 1918 року,PERIOD,9,26
text_493,Український театр,ORG,35,52
text_493,Криму,LOC,111,116
text_493,Юрист,JOB,141,146
text_493,Квітка,PERS,147,153
text_495,Климент Квітка,PERS,27,41
text_495,Леся,PERS,62,66
text_496,1917 року,DATE,18,27
text_496,Мелодії з голосу Лесі Українки,ART,69,99
text_496,Лесиного,PERS,133,141
text_496,Ялті,LOC,150,154
text_496,Климент Васильович,PERS,159,177
text_496,1953 року,DATE,187,196
text_496,40 років,PERIOD,218,226
text_497,Ялті,LOC,4,8
text_497,"вулиці Літкенса , 8",LOC,36,55
text_497,Лесі Українці,PERS,187,200
text_500,Лесі Українки,PERS,40,53
text_501,Податкового кодексу України,ART,59,86
text_502,Кодексом,ART,14,22
text_506,Податкового кодексу,ART,99,118
text_506,Єдиному реєстрі податкових накладних,ART,454,490
text_507,Податкового кодексу,ART,45,64
text_507,ЄРПН,DOC,198,202
text_508,1 липня 2015 року,DATE,92,109
text_510,2016,DATE,24,28
text_510,1 січня,DATE,42,49
text_510,1 травня поточного року,DATE,65,88
text_510,3 травня,DATE,116,124
text_511,2015 року,PERIOD,76,85
text_511,наказом Міністерства фінансів України від 2 жовтня 2015 року за № 859,DOC,158,227
text_512,минулого року,DATE,52,65
text_513,15 %,PCT,2,6
text_515,ПКУ,ART,4,7
text_515,1 січня,DATE,107,114
text_516,20 %,PCT,2,6
text_517,20 %,PCT,38,42
text_518,30 %,PCT,28,32
text_519,20 %,PCT,2,6
text_522,ПКУ,ART,4,7
text_525,ПКУ,ART,4,7
text_526,5,PCT,2,3
text_526,0 %,PCT,7,10
text_526,ПКУ,ART,72,75
text_527,2015 року,DATE,41,50
text_527,1 січня,DATE,154,161
text_527,1218 гривень,MON,200,212
text_529,Києву,LOC,8,13
text_531,Київ,LOC,25,29
text_531,Криму,LOC,178,183
text_532,Києву,LOC,8,13
text_534,голова,JOB,40,46
text_534,КМДА,ORG,47,51
text_534,Володимир Бондаренко,PERS,52,72
text_535,Києві,LOC,4,9
text_537,Києва,LOC,54,59
text_537,Володимир Бондаренко,PERS,147,167
text_538,поточний рік,DATE,21,33
text_538,"2,8 млрд грн",MON,58,70
text_539,Євробаскету-2015,ORG,73,89
text_540,Бортницької станції аерації,ORG,96,123
text_541,Бондаренка,PERS,16,26
text_541,Японія,LOC,29,35
text_541,Києву,LOC,45,50
text_541,40 років,PERIOD,84,92
text_541,"0,1 %",PCT,97,102
text_542,10 млрд грн,MON,23,34
text_544,Володимир Бондаренко,PERS,13,33
text_544,Києва,LOC,142,147
text_546,Майдані Незалежності,LOC,88,108
text_546,Небесної Сотні,MISC,140,154
text_547,Майдані,LOC,90,97
text_548,Володимира Бондаренка,PERS,27,48
text_549,Майдану Незалежності,LOC,20,40
text_549,Городецького,LOC,54,66
text_549,Будинку профспілок,LOC,70,88
text_549,Карий,PERS,139,144
text_549,Антона,PERS,202,208
text_551,п’ятої вечора,TIME,16,29
text_551,Карий,PERS,59,64
text_553,Карого,PERS,2,8
text_554,9,QUANT,55,56
text_554,15 см,QUANT,59,64
text_555,Беркут,ORG,148,154
text_555,Київському управлінні МВС,ORG,161,186
text_555,Карий,PERS,189,194
text_556,Карий,PERS,41,46
text_557,початку 2012-го,DATE,3,18
text_557,місяць,PERIOD,24,30
text_557,Антона,PERS,41,47
text_557,Липовий Скиток,LOC,153,167
text_557,сорок кілометрів,QUANT,171,187
text_557,Києва,LOC,192,197
text_557,Карий,PERS,206,211
text_557,Антона,PERS,232,238
text_559,десятої вечора,TIME,3,17
text_559,Карий,PERS,18,23
text_559,десятої,TIME,93,100
text_561,Карий,PERS,120,125
text_563,Карий,PERS,43,48
text_563,рік,PERIOD,69,72
text_563,Антон,PERS,78,83
text_564,Сім років,PERIOD,41,50
text_564,Карий,PERS,56,61
text_564,Бог,PERS,115,118
text_564,Антон,PERS,161,166
text_564,беркутівця,JOB,236,246
text_564,Турок,PERS,276,281
text_565,Карий,PERS,13,18
text_565,Турка,PERS,68,73
text_566,Карий,PERS,57,62
text_566,Перший рік,PERIOD,122,132
text_566,Антона,PERS,150,156
text_566,Карий,PERS,157,162
text_567,31 травня 2007-го,DATE,14,31
text_567,Беркута,ORG,46,53
text_567,Динамо,ORG,85,91
text_567,Шахтар,ORG,98,104
text_568,Карий,PERS,26,31
text_568,2 червня,DATE,257,265
text_568,Беркут,ORG,348,354
text_569,Карий,PERS,25,30
text_569,Антону,PERS,66,72
text_571,півроку,PERIOD,3,10
text_571,Карого,PERS,48,54
text_571,Андрій Бичанський,PERS,67,84
text_571,Мирон,PERS,99,104
text_571,беркутівця,JOB,137,147
text_571,Ельдара Гарагана,PERS,159,175
text_572,Карий,PERS,18,23
text_573,Гарагана,PERS,26,34
text_573,беркутівець,JOB,48,59
text_574,початку 2011 - го,DATE,3,20
text_574,Антон,PERS,34,39
text_577,Антону,PERS,11,17
text_577,фотографа,JOB,96,105
text_577,тележурналіст,JOB,131,144
text_577,Василь Нагірний,PERS,145,160
text_578,Лілея НВ,ORG,36,44
text_578,Андрієм Кіщуком,PERS,101,116
text_578,А . Kubler . Світло і тіні маестро,ART,133,167
text_579,Кіблер,PERS,74,80
text_580,Франца Йосифа,LOC,176,189
text_582,Кіблер,PERS,6,12
text_582,Коломиї,LOC,30,37
text_582,Карла,PERS,68,73
text_582,1912 р,DATE,92,98
text_582,Прутом,LOC,114,120
text_585,музеї Гуцульщини і Покуття,ORG,4,30
text_585,Народного дому,ORG,69,83
text_585,Кіблера,PERS,94,101
text_586,Василь Нагірний,PERS,40,55
text_586,Лесі Українки,LOC,88,101
text_590,Бистриці,LOC,18,26
text_591,Надвірнянського району,LOC,16,38
text_591,Івано-Франківської області,LOC,39,65
text_592,КДБ,ORG,31,34
text_593,ГУЛАГ,ORG,66,71
text_595,1967 до 1974 року,PERIOD,4,21
text_595,Василем,PERS,47,54
text_595,Вірою,PERS,63,68
text_595,Ганною,PERS,79,85
text_596,вчителькою,JOB,22,32
text_601,Бистриці,LOC,11,19
text_604,Захара,PERS,84,90
text_605,кілька десятиліть,PERIOD,50,67
text_613,Василя Герасим'юка,PERS,19,37
text_624,Навчальний рисунок,MISC,188,206
text_624,18 листопада,DATE,239,251
text_624,ДХШ,ORG,254,257
text_625,Академічний рисунок - основа образотворчої грамоти в художніх школах,MISC,91,159
text_627,викладачі-методисти,JOB,12,31
text_627,Олександр Брензей,PERS,32,49
text_627,Тетяна Щербина,PERS,52,66
text_627,Катерина Дегтяр,PERS,69,84
text_627,Доцент,JOB,164,170
text_627,К-ПНУ ім . Івана Огієнка,ORG,262,286
text_627,Інна Березіна,PERS,287,300
text_628,викладачі,JOB,39,48
text_628,Валентина Лайтер,PERS,72,88
text_628,Галина Ярошевська,PERS,91,108
text_628,викладач,JOB,112,120
text_628,НВК №9,ORG,121,127
text_628,Наталія Оцишена,PERS,128,143
text_629,викладач,JOB,31,39
text_629,К-ПНУ ім . Івана Огієнка,ORG,61,85
text_629,Олександр Віштаченко,PERS,86,106
text_630,18 грудня,DATE,80,89
text_632,Равіль Брагін,PERS,56,69
text_634,1860 році,DATE,11,20
text_634,України,LOC,31,38
text_634,Донбасу,LOC,69,76
text_634,шахтарям,JOB,90,98
text_635,годинами,PERIOD,59,67
text_636,Сергій Ніконоров,PERS,18,34
text_636,Равіль Брагін,PERS,37,50
text_636,голубівники,JOB,63,74
text_637,пару годин,PERIOD,21,31
text_639,чотири роки,PERIOD,6,17
text_640,80 кілометрів за годину,QUANT,41,64
text_641,Судді,JOB,73,78
text_650,Андрій Бабовін,PERS,49,63
text_651,Брагіна,PERS,22,29
text_651,Олександр Черняєв,PERS,30,47
text_651,шахтар,JOB,61,67
text_653,Черняєва,PERS,9,17
text_656,Черняєв,PERS,50,57
text_659,Катерина Даманська,PERS,96,114
text_666,Катерина,PERS,26,34
text_668,Даманська,PERS,86,95
text_676,Катерина,PERS,9,17
text_677,Даманська,PERS,13,22
text_678,Катерина,PERS,109,117
text_680,наступного дня,DATE,18,32
text_680,Христоф,PERS,40,47
text_680,Львова,LOC,61,67
text_680,Даманська,PERS,75,84
text_681,служницю,JOB,37,45
text_682,Катерина,PERS,6,14
text_682,покоївку,JOB,90,98
text_683,Катерина,PERS,89,97
text_685,Давида,PERS,28,34
text_685,Аполлона,PERS,38,46
text_686,Богом,PERS,87,92
text_686,Бог,PERS,131,134
text_687,Даманська,PERS,46,55
text_688,Кальварії,LOC,59,68
text_689,Краківське передмістя,LOC,32,53
text_692,церкві святого Миколая,LOC,30,52
text_692,костелах Івана Хрестителя та Марії Сніжної,LOC,57,99
text_693,Підзамче,LOC,35,43
text_694,Старого Ринку,LOC,52,65
text_698,Катерина,PERS,92,100
text_705,Катерина,PERS,111,119
text_706,Даманської,PERS,34,44
text_708,Єжи,PERS,46,49
text_708,Катерина,PERS,93,101
text_710,Даманська,PERS,15,24
text_712,Стеця П’явки,PERS,6,18
text_713,Старий Ринок,LOC,44,56
text_713,Стецька,PERS,117,124
text_717,Стецько,PERS,26,33
text_718,музики,JOB,29,35
text_718,сопілкар,JOB,44,52
text_718,скрипаль,JOB,63,71
text_719,Омелько,PERS,61,68
text_719,магістратський писар,JOB,71,91
text_720,П’явчихи,PERS,23,31
text_722,Беня,PERS,48,52
text_722,Омелько,PERS,55,62
text_725,Бень,PERS,81,85
text_726,Бень,PERS,4,8
text_726,урядник,JOB,25,32
text_726,магістрату,ORG,50,60
text_726,Високому Замку,LOC,105,119
text_726,магістрат,ORG,173,182
text_728,Омелько,PERS,87,94
text_728,писар,JOB,97,102
text_729,Стецька П’явки,PERS,80,94
text_729,Музики,JOB,97,103
text_729,Беня,PERS,179,183
text_730,Омелько,PERS,83,90
text_731,Омелька,PERS,57,64
text_731,писаря,JOB,109,115
text_737,Паскалі,ART,95,102
text_742,C,ART,5,6
text_742,C,ART,118,119
text_742,C + +,ART,123,128
text_747,Петриківка,LOC,123,133
text_748,Петриківки,LOC,30,40
text_752,Книги рекордів України,MISC,23,45
text_752,120 метрів,QUANT,60,70
text_752,80 сантиметрів,QUANT,80,94
text_755,Петриківка,LOC,22,32
text_755,Дніпропетровській області,LOC,35,60
text_758,Петриківці,LOC,36,46
text_759,Петриківці,LOC,2,12
text_759,Національної спілки художників,ORG,43,73
text_759,України,LOC,121,128
text_760,міністерство культури,ORG,6,27
text_760,України,LOC,103,110
text_761,грудні 2013 року,DATE,4,20
text_761,ЮНЕСКО,ORG,43,49
text_762,Петриківки,LOC,24,34
text_763,1990-х,DATE,15,21
text_763,2000-х,DATE,35,41
text_766,Олеся Статива,PERS,145,158
text_775,Петриківці,LOC,40,50
text_775,середині XVIII століття,DATE,125,148
text_775,Орілі,LOC,194,199
text_775,Петрик,PERS,244,250
text_780,Великодня,MISC,48,57
text_783,Петриківка,LOC,21,31
text_783,кошового отамана,JOB,58,74
text_783,Петра Калнишевського,PERS,75,95
text_783,митрополитові Київському,PERS,96,120
text_783,Свято-Георгіївську церкву,ORG,161,186
text_785,Калнишевського,PERS,8,22
text_786,1930-х,DATE,2,8
text_787,Федір Панко,PERS,40,51
text_788,Калнишевського,PERS,73,87
text_789,52 роки,PERIOD,6,13
text_789,отамана,JOB,50,57
text_789,Панко,PERS,60,65
text_791,Петриківці,LOC,19,29
text_792,Федір Панко,PERS,19,30
text_792,2007 року,DATE,44,53
text_792,Тетяни Пати,PERS,105,116
text_793,Панкова,PERS,25,32
text_793,Валентина,PERS,40,49
text_797,Валентина,PERS,42,51
text_797,Центрі народного мистецтва « Петриківка »,ORG,95,136
text_801,Зінаїда Кошова,PERS,11,25
text_801,Петриківку,LOC,39,49
text_802,Художники,JOB,62,71
text_804,Агнеса,PERS,53,59
text_808,Агнеса,PERS,17,23
text_814,Атос,PERS,36,40
text_818,вчителька,JOB,2,11
text_818,Агнесу,PERS,45,51
text_825,Маргаритки,PERS,24,34
text_826,Маргаритка,PERS,163,173
text_828,Агнеса,PERS,152,158
text_831,Агнеси,PERS,6,12
text_832,Марія,PERS,11,16
text_836,Агнеса,PERS,11,17
text_838,Різдво,MISC,27,33
text_839,Марія,PERS,82,87
text_839,Агнеса,PERS,292,298
text_842,Агнесі,PERS,39,45
text_846,Марія,PERS,36,41
text_847,Різдво,MISC,122,128
text_847,Марія,PERS,131,136
text_847,Агнеса,PERS,345,351
text_847,Марії,PERS,503,508
text_849,Агнеско,PERS,12,19
text_851,кілька хвилин,PERIOD,5,18
text_858,Богданчиком,PERS,27,38
text_860,Агнеса,PERS,42,48
text_860,Макса,PERS,134,139
text_862,Нью-йоркська,LOC,83,95
text_869,нью-йоркської,LOC,45,58
text_874,Андріані,PERS,13,21
text_877,Аеропорт Кеннеді,LOC,52,68
text_878,офіцер,JOB,10,16
text_880,Андріана,PERS,22,30
text_880,Північної Кароліни,LOC,55,73
text_890,Андріана,PERS,112,120
text_898,Бог,PERS,64,67
text_900,Андріана,PERS,92,100
text_904,Андріані,PERS,77,85
text_906,Андріана,PERS,74,82
text_911,портьє,JOB,14,20
text_913,Андріана,PERS,83,91
text_922,Андріані,PERS,13,21
text_946,Андріана,PERS,37,45
text_947,наступного ранку,DATE,2,18
text_951,Андріана,PERS,82,90
text_956,Андріана,PERS,107,115
text_962,Андріана,PERS,28,36
text_966,адміністратора,JOB,62,76
text_969,Андріана,PERS,125,133
text_972,наступного ранку,DATE,2,18
text_972,вчора,DATE,164,169
text_977,Андріана,PERS,194,202
text_982,Андріані,PERS,87,95
text_983,Творець,PERS,107,114
text_984,2012-2014 років,PERIOD,99,114
text_984,Зачарований край,LOC,145,161
text_984,Всесвітнім фондом природи WWF,ORG,173,202
text_984,Чорне багно,LOC,254,265
text_984,Бужора,LOC,299,305
text_984,Закарпатті,LOC,308,318
text_984,Водно-болотне угіддя « Чорне багно »,LOC,319,355
text_984,15 га,QUANT,426,431
text_985,840 м,QUANT,66,71
text_985,"5,9 м",QUANT,142,147
text_986,50-х і на початку 60-х років минулого століття,PERIOD,2,48
