text_id,text
text_24,"І здавалося , навіть поворухнутись від утоми вже не можуть ."
text_25,"І тільки голоси їхні свідчили про те , що вони живі ."
text_26,Замовкало тоді все довкола .
text_27,"Все слухало лише їх ... і про що б вони не співали : чи про милого , який не прийшов , чи про струєного Гриця , чи про те , як брат із сестрою стали квітами , — це було ... велично ."
text_28,"Це була їхня , дівоча молитва , яку , крім них , ніхто не зміг би повторити ."
text_29,Для чоловіків це було недосяжно .
text_30,"Жінки або ті дівчата , що знаходили собі пару , назавжди втрачали цю здатність співати саме так ."
text_31,Діди співали теж .
text_32,Але не тільки співали .
text_33,"Вони переказували родичам із далеких сіл новини , часом передавали передачі — переважно гроші : « Там , за верстов десять , село є таке , Вербівці називається ."
text_34,Там Паляниці живуть .
text_35,То ви Гната Паляницю спитайте .
text_36,"То родич наш , удівець ."
text_37,"Чули , що корову йому грім забив ."
text_38,То ми оце йому тут трохи зібрали .
text_39,Передасте ? »
text_40,Старці брали .
text_41,"Дякували за довіру , перепитували ще щось за тих Паляниць , аби нічого не наплутати ."
text_42,А Амфібрахій лише дивувався : як ці люди можуть так вірити їм ?
text_43,"Простим подорожнім , чужим , незнайомим ..."
text_44,"Вони ж можуть просто оминути ті Вербівці , і ніхто й не дізнається , хто вони і куди пішли ."
text_45,"Що це — наївність чи безмежна довіра до тих , хто несе слово правди ? « А може , щось йому ще переказати , тому вдівцеві Паляниці ? » — « Перекажіть , що у нас усе добре , а от у дядини його , Одарки , син утопився ."
text_46,Вже чималий хлопець був .
text_47,Та на все Божа воля .
text_48,І Ліцінарові не пережили пошесті .
text_49,"Всіх покосило , вижило тільки мале одне , ще в колисці ."
text_50,"То люди забрали , там у них сусіди бездітні були ... »"
text_51,"Якось наговорили стільки , що й годі було все запам'ятати . Амфібрахій слухав-слухав , а тоді дістав із кишені перо та каламар , пошукав пляшечку з чорнилом і почав усе записувати ."
text_52,Тепер точно не наплутають .
text_53,"Паперу в нього було небагато ( та й не купиш же його , бо дорогий ! ) , тому писав дрібненько , скорочував слова , аби лише записати основне ."
text_54,Так запрацювала їхня « пошта » .
text_55,"Пакуночки вони передавали за призначенням , а листи Амфібрахій зачитував адресатам . Устимко завжди дивувався , що Амфібрахій , виявляється , вміє не лише букви-кузьки на слова перетворювати , а й слова може буквами записувати . Слід зазначити , що корпоративні медіа сприяють поліпшенню результатів компанії не прямо , а опосередковано — через вплив на свідомість відповідної цільової аудиторії ( співробітників , клієнтів , партнерів ) ."
text_56,"Вони формують громадську думку , перетворюючи її на своєрідний каталізатор соціальної активності , спрямованої на реалізацію місії компанії , її ринкових завдань , формування корпоративної культури тощо ."
text_57,"Особливо чітко ця функція проявляється у корпоративній періодиці , спрямованій насамперед на забезпечення усвідомленої діяльності співробітників компанії ."
text_58,"Таким чином , можна сформулювати основні завдання внутрішнього видання : роз'яснення та популяризація місії , стратегії та цілей компанії , формування образів майбутнього , зміцнення корпоративної етики з метою ефективного керування лояльністю , підвищення трудової відданості співробітників , підвищення професійного рівня і загальної поінформованості колективу ."
text_59,При цьому першочергове завдання будь-якого фірмового часопису як ЗМІ — завоювати довіру та інтерес аудиторії .
text_60,"Головною особливістю аудиторії корпоративної преси є те , що вона представлена сукупністю людей , які споживають інформацію у зв'язку зі своєю виробничою діяльністю ."
text_61,"Це означає , що і тематика , і стиль таких видань повинні бути максимально спрямовані на висвітлення життя тієї чи іншої компанії , організації , підприємства ."
text_62,Ще одна істотна особливість — неоднорідність цільової аудиторії .
text_63,"Вона складається із представників різних професій , спеціальностей , соціальних верств : від прибиральника — до генерального директора , але всі вони мають бути однодумцями , сповідувати в рамках своєї виробничої діяльності одні й ті самі принципи та цінності ."
text_64,"Не слід забувати , що аудиторія більшості корпоративних видань , котрі зазвичай розповсюджуються безплатно серед співробітників чи клієнтів компанії , стала ."
text_65,"З огляду на це позитивним для компанії-видавця є досить простий доступ до комуніката , якому внутрішня газета чи журнал з певною періодичністю лягає на робочий стіл ."
text_66,"Проте існує небезпека , що через брак нагальної потреби боротися за аудиторію фірмове видання може втратити якість , не маючи особливої мотивації в зацікавленні читача , журналістського самовдосконалення , пошуку нових форм ."
text_67,"Тепер внутрішні часописи найчастіше розглядають як інструмент формування корпоративних комунікацій , провідник корпоративної ідеології , засіб внутрішнього та зовнішнього PR . Проведене серед керівників 500 найбільших світових корпорацій опитування показало , що до головних цілей корпоративних видань належать утримання наявних клієнтів , керування іміджем компанії , збільшення продажу , мотивування співробітників ."
text_68,"Не викликає сумнівів те , що корпоративні медіа — надзвичайно потужний інструмент корпоративного PR ( як зовнішнього , так і внутрішнього ) , який є важливим елементом бізнес-комунікацій ."
text_69,"За його допомогою компанія може презентувати свою місію , стратегію , формувати образи майбутнього , керувати лояльністю , підвищувати трудову віддачу колективу , долати кризові та потенційно кризові ситуації , підвищувати професійний рівень і загальну поінформованість співробітників ."
text_70,Ці думки поділяють експерти в галузі зв'язків із громадськістю : PR відповідає за формування суспільної думки і створення репутації .
text_71,"Що активніший процес рівноправного відкритого діалогу із суспільством , то стабільніша і позитивніша репутація організації ."
text_72,"PR загалом покликаний забезпечувати ефективний діалог із суспільством , формуючи і підтримуючи позитивний образ , репутацію компанії , її послуг і ключових співробітників ."
text_73,"Створюючи модель корпоративного видання , обов'язковим для включення в неї будуть компоненти корпоративної культури , до яких належать : корпоративна ідеологія ; корпоративний імідж ; історії , міфи , легенди компанії ; корпоративні ритуали , традиції ; зовнішній вигляд співробітників , офісів , будівель компанії ; корпоративна символіка ; внутрішньофірмова та зовнішня поведінка , її взаємодія в рамках корпоративної культури ."
text_74,"Тож і корпоративні медіа бачаться як важливий специфічний напрям соціокомунікативного процесу , що забезпечує обмін інформаційними потоками не лише всередині компанії , а й зовні ."
text_75,"Ось чому від якості та ефективності такої комунікації залежить не лише успіх окремої бізнес-організації , а і певною мірою стан інформаційного простору загалом ."
text_76,"Слід зазначити , що внутрішньофірмові ЗМІ активно формують економічну культуру , корпоративні стандарти , моделі взаємодії організацій із громадськістю ."
text_77,Тобто йдеться про виконання ними важливих соціальних функцій .
text_78,"Окрім того , корпоративні медіа реалізовують різноманітні прикладні завдання в галузі управління персоналом , формування громадської думки , менеджменту корпоративних комунікацій ."
text_79,"Передусім це побудова позитивного іміджу компанії , створення єдиного інформаційного поля в рамках підприємства , підвищення ефективності внутрішньокорпоративних комунікацій , що забезпечує усвідомлену діяльність співробітників , впливає на поліпшення результатів діяльності компанії через громадську думку ."
text_80,Вивчення діяльності корпоративних медіа під таким ракурсом дає нам змогу виокремити кілька їх основних функцій :
text_81,1 .
text_82,"Масовоінформаційна . У сучасному інформаційному світі великого значення набуває спеціалізована , локальна інформація , зокрема і корпоративна ."
text_83,"Корпоративні ж медіа є прямим спеціалізованим каналом , через який повідомлення поширюються на певну вузьку професійну , виробничу , бізнесову аудиторію ."
text_84,Така діяльність містить усі ознаки масової комунікації .
text_85,"Корпоративні ЗМІ беруть участь у системних , « коротких » , точкових комунікаціях , які охоплюють переважно невеликі за кількістю , замкнені , згуртовані за професійними та комерційними інтересами групи ."
text_86,"Відгукуючись на їхні запити , фірмові часописи генерують інформаційні потоки і скеровують у потрібне для бізнес-організації русло ."
text_87,2 .
text_88,"Соціокомунікативна . Діяльність корпоративних медіа має видимий соціальний підтекст , притаманний усій системі масових комунікацій ."
text_89,"Її кінцевими наслідками є встановлення діалогу між компанією та суспільством , гармонізація особистих і корпоративних інтересів у колективі , мотивація та сприяння самоідентифікації працівників , поліпшення виробничих стосунків тощо ."
text_90,"Так , внутрішні видання здатні змінювати громадську думку та людські стосунки на рівні професійних громад , бізнесово-виробничих спільнот ."
text_91,Соціальна специфіка функціонування фірмової періодики полягає і в певній інформаційно-роз’яснювальній діяльності .
text_92,"Ось чому цей різновид мас-медіа варто розглядати як засіб посилення суспільного діалогу , встановлення взаєморозуміння , оптимізації інформаційного поля всередині колективу та організації загалом , тобто як інструмент врегулювання соціального боку економічних відносин ."
text_93,3 .
text_94,"Корпоративно-комунікативна . Корпоративні медіа — важлива системна частина комунікативних процесів , без яких неможливо уявити сучасну бізнес-організацію ."
text_95,"У порівняно невеликих колективах повідомлення можуть передаватися із вуст у вуста , однак у великих професійних громадах , де кількість співробітників сягає тисяч осіб , а структурні підрозділи розташовані на значній відстані один від одного , організувати обмін думками і встановити взаєморозуміння допомагають внутрішні ЗМІ . Компанія ж використовує це бажання працівника бути причетним до певної організації , що має відоме ім'я , статус лідера , незаплямовану репутацію , як одну із можливостей його нематеріального заохочення ."
text_96,Комплекс спільних переконань ( його ще називають корпоративною культурою або корпоративною філософією ) консолідує інтереси учасників комерційної організації та водночас є виявом їхніх поглядів .
text_97,4 .
text_98,"Бізнесова . Очевидно , що діяльність фірмових медіа можна назвати рекламно-інформаційним та PR-супроводом бізнесу ."
text_99,"Ефективність зовнішніх видань може вимірюватися на підставі того , скільки за його допомогою вдалося залучити нових споживачів і скільки утримати наявних клієнтів ."
text_100,"Роз'яснюючи та популяризуючи на шпальтах внутрішнього видання політику компанії , цілі та принципи її роботи , можна домогтися підвищення лояльності працівників , а отже , загальної ефективності всіх процесів у компанії , формування її довгострокових конкурентних переваг ."
text_101,"Іншими словами , реалізація бізнесової функції корпоративних медіа полягає в тому , наскільки успішно вони допомагають компанії заробляти кошти та наскільки збільшують вартість самого бізнесу ."
text_102,"Отже , зі сказаного можна зробити висновок , що фірмова періодика поєднує широкий діапазон функцій як локального прикладного характеру , пов’язаного з підвищенням ефективності бізнесової , управлінської , маркетингової , рекламної та PR-діяльності на рівні окремих компаній , так і глобального соціокомунікативного впливу в масштабах усього суспільства , пов’язаного з інформуванням , роз’яснюванням , вихованням , формуванням психологічного клімату тощо . 2"
text_103,"Книга — це те , заради чого хочеться прокидатися щоранку , єдине джерело мотивації ."
text_104,"Коли вже не лишилося жодних інших бажань , коли всі загальнодоступні , не раз випробувані втіхи здаються надто амбівалентними або дешевими , тоді книга , яка пишеться , дає сили бути справжньо , бути собою ."
text_105,"Не пригадую , хто сказав ; доки ти пишеш книгу , з тобою не станеться нічого лихого ."
text_106,"Думаю , однією з головніших причин твоєї затяжної хвороби , що врешті закінчилася смертю , було якраз те , що ти більше не міг писати ."
text_107,"Це вміння твоє відмирало поволі , ти ще хапався за самописку , клав перед собою чистий аркуш паперу — але , навіть просидівши за письмовим столом годину або й дві , вставав знесиленим , а аркуш залишався порожнім ."
text_108,"Або , що значно страшніше , на ньому тулилися незграбні старечі каракулі , анітрохи не схожі на той дивовижно гарний почерк , що був у тебе протягом усього попереднього життя , почерк , яким ти писав свої повісті і листи мені до війська ; один погляд на ті красиві , стрункі літери , підносив дух ."
text_109,"Ще не читаючи листа , я просто милувався твоїм летючим письмом , стрімким , як потік , схожим на тебе , схожим на течію повноводого Сейму , яка підхоплює , несе , граючись , бореться з тобою , як ото ангел боровся з Яковом ..."
text_110,"Коли тебе не стало , я теж перестав писати ."
text_111,"Спочатку я цього й не помітив , настільки був прибитий горем ."
text_112,"Потім , коли трохи розвиднілося , років через три , я не міг повірити в те , що більше не можу писати ."
text_113,"На відміну від тебе , в мене нічого не боліло , часто з’являлися якісь гарні , цікаві ідеї , я багато читав — і це надихало ."
text_114,"Однак варто було сісти до письмового столу , як я — спершу недовірливо , потім майже жахаючись — переконувався , що не можу видушити з себе жодного слова ."
text_115,Я був як ти .
text_116,Це був твій посмертний дар .
text_117,Є така фреска в Кампосанто : гурт молодих людей верхи на конях повертається з полювання .
text_118,Аж тут перед їхніми очима з’являється розрита могила з трьома мерцями у трунах .
text_119,"Вони вже розкладаються , від них тхне ."
text_120,"Вершники — хто з огидою , хто замислено — дивляться на моторош тліну , дехто затуляє носа , щоб не чути смороду ."
text_121,"Позаду могили стоїть старий чернець , тримаючи сувій , на якому написано послання мертвих живим : « Ми були , як ви ; ви будете , як ми » ."
text_122,"Свіжі вересневі ранки , лісові стежки , притрушені хвоєю , таємничі води Орлового озера , рядки улюблених поетів , які самі спливають у пам’яті , розписи на стінах і слова складених у юності пісень — весь цей роками назбируваний скарб плавно й невідворотно опускається на дно фатального океану ."
text_123,"Суха соломинка самописки , за яку безпорадно чіпляються пальці ."
text_124,З
text_125,"Звичайно , є різноманітні форми письменницьких блокувань , і можна знайти не одну статтю , та навіть книгу , де ці блокування і способи їхнього подолання детально розглядаються ."
text_126,"Історія літератури постачає нас цілим рядом по-своєму печальних розповідей про Гамлетів письма , яких покидає дар слова ."
text_127,"Як покинув він Колріджа і Вордсворта , Мелвіла і Фітцджеральда ."
text_128,"Або ж вони самі його покинули — як Артюр Рембо , скажімо ."
text_129,Чи Селінджер .
text_130,"В одних були метафізичні проблеми , в інших — проблеми з алкоголем ."
text_131,Але йдеться не про покинутість — у цьому світі кожен по-своєму покинутий тими чи тими богами — а про повертання .
text_132,"Про нерухомість вечірнього світла , на початку якого проступає твоя постать ."
text_133,"Наче сосна , каліграфічний розчерк крислатого ієрогліфа , за вказівкою якого діється вистава хмар ."
text_134,"Не відкидаючи тіні , твоя постать точить мовчання , як сосни точать живицю ."
text_135,Крізь неї просвічує багряно-золота заграва Заходу .
text_136,"Саме туди , до високого , як осінній грім , Окциденту відпливають душі померлих у своїх вутлих човнах ."
text_137,"Я знаю , що підбігти і обняти тебе неможливо ."
text_138,"Так Еней тричі намагався обняти свого батька у царстві померлих — і руки його тричі промахувалися , бо як можна обняти голографічне зображення ?"
text_139,"Тому я сиджу й не ворушуся , з тоскною любов’ю вдивляючись у такі ж знайомі , як власні , риси обличчя ."
text_140,"Крізь тебе видно широкі сеймові луги , летюче гроно птахів , закрут ріки ; ми не раз блукали з тобою цими місцями ."
text_141,"Пишучи , ти засинаєш ."
text_142,"Ти опиняєшся у зовсім іншому світі , де все можливо , де нема межі між суб’єктом і об’єктом ."
text_143,"Снуєш свою оповідь , і вона тут-таки , на твоїх очах стається . Виборча кампанія у розпалі ."
text_144,"Цього разу сісти в омріяні парламентські крісла пробують і відомі кіровоградські бізнесмени ( з 90-х відомі ) , орендарі дендропарку й щасливі власники атракціонів , які час від часу падають , Микола та Лариса Онули ."
text_145,Почали феєрично .
text_146,"Не секрет , що Онули протягом кількох останніх років були головними спонсорами УДАРу на Кіровоградщині ."
text_147,"Скільки точно вклали грошей , невідомо ."
text_148,"Та й не треба заглядати до чужої кишені , цікавіше зовсім інше . Блок Порошенка , до якого влилася партія Віталія Кличка , ані Ларису Анатоліївну , ані Миколу Леонідовича до своїх списків не взяв ."
text_149,Не довірили їм і мажоритарних округів .
text_150,Невдача .
text_151,"Ще й доволі прикра , якщо згадати про витрачені кошти ."
text_152,"А враховуючи те , що голова обласної організації УДАРу Анатолій Ревенко у списку таки опинився ( правда , далеченько від початку ) , вдвічі прикріша ."
text_153,"Тоді подружжя вирішило прориватися до Верховної Ради самотужки . Лариса Онул зареєструвалася як самовисуванка у 100-му окрузі ( Кіровоград ) , створивши таким чином конкуренцію затвердженому з’їздом Блоку Порошенка Костянтину Яринічу ."
text_154,Її чоловік Микола стартував на перегонах із 100-го округу ( центр — Бобринець ) .
text_155,Тут офіційного кандидата від пропрезидентської політсили немає взагалі .
text_156,"Відповідно , про Порошенка і Кличка Онули можуть забути : нікому не подобаються люди , які йдуть усупереч генеральній лінії партії і намагаються поламати всі хатки ."
text_157,Позбулися пан Микола і пані Лариса й підтримки громадськості .
text_158,Новини Кіровоградщини вже писали про спробу кіровоградської самооборони « люструвати » голову Кіровоградської облдержадміністрації Сергія Кузьменка .
text_159,"Тоді на зустріч із губернатором , нагадаємо , прийшли й Онули ."
text_160,"Але представники кількох громадських організацій просто вигнали їх із конференц-зали ОДА : мовляв , вас сюди ніхто не запрошував ."
text_161,Однак Онули заспокоюватись не поспішають .
text_162,Спочатку прес-конференцію провела Лариса Анатоліївна .
text_163,Потім — Микола Леонідович .
text_164,Один із головних лейтмотивів обох заходів : ми будемо боротися чесно і лише демократичними методами .
text_165,"Більше того , Лариса Онул висловила готовність підписати Меморандум про чесні вибори ."
text_166,"І запропонувала опонентам свій варіант : обрати Наглядову раду , яка матиме право більшістю голосів її членів зобов’язати кандидата знятися з виборів , якщо він тричі порушить норми Меморандуму ."
text_167,Документ « ратифікували » .
text_168,"І через нього , схоже , у міцній УДАРівській родині може статися скандал ."
text_169,Теоретично пані Лариса повинна прийти додому і сказати чоловікові :
text_170,— Ну як ти можеш ?!
text_171,Це некрасиво з твого боку !
text_172,"Адже , поки берегиня сімейного вогнища ставила свій автограф під документами про чесні вибори , громадянська мережа ОПОРА впіймала претендента на депутатську посаду в 100-му окрузі Миколу Онула на чорному піарі проти Станіслава Березкіна . « Чорнуха » поширювалась через газету з ленінською назвою « Іскра » ."
text_173,"Її редактором вказаний близький до Онулів народний депутат від УДАРу Сергій Каплін . ( Не так давно весь дендропарк був його депутатською приймальнею . ) Цікаво , як розцінює « журналістську діяльність » свого соратника Віталій Кличко ..."
text_174,"Такі от « чесні вибори » . Як можна не зірватись у цю безодню — назавжди , забувши усі найдрібніші знаки на твоїй руці .."
text_175,"Ти вже був там , у безодні , і тепер , через сорок майже літ , я ловлю відлуння твоїх кроків тут , у Львові , у цій безодні .."
text_176,"Тут мене не було стільки часу , недавно якось я навіть заблукав тут , уявляєш ? — у самому серці Львова , між Оперним і твоїм театром ."
text_177,"І я собі подумав : може , мене водить ця потаємна осліплена ріка ?.."
text_178,"Вона починається ніби звідти , де ми з тобою тоді гуляли ночами .."
text_179,"Але , мабуть , інакше : це я , я тепер осліплений , шукаю ту ріку , і ніяк не зблисне мені жодна краплина її доньок Пасіки й Сороки : вони двоє твоїми очима задивляються на Північне море , але третя донька , сестра їхня Зубра — у відчаї втікає у протилежний бік на південь , до лагідного сонця .."
text_180,Від кого вона так панічно втікає ?..
text_181,"Може , від місяця , від того , що розіп’ятий над усіма ріками , великими і найменшими .."
text_182,"Часом у ясну ніч він мені здається Лаокооном у невидимих обіймах , але про нього ти знаєш більше .."
text_183,"Він тут , поруч .."
text_184,Варто лише нахилитись і зачерпнути рукою ..
text_185,Лише наважитись ..
text_186,"Так , як міг Лі Бо .."
text_187,Я в поїзді .
text_188,Сьогодні Покрова і якраз уночі випав сніг .
text_189,У вікні крізь запітнілу шибку проминає чорно-біле кіно .
text_190,"Лише дерева , темні на снігу , зрідка плями зеленого , рудого .."
text_191,"Означилися невидимі звірячі стежки , повилазила кожна грудка .."
text_192,Проявилася титанічна діяльність кротів на пасовиськах ..
text_193,Я їду до Франківська на вечір пам’яті Тараса Мельничука ..
text_194,"Може , ти знав його , а може , й ні , він трохи старший за нас ."
text_195,"І його тихо , поволі замордували , хоч і згас ніби своєю смертю .."
text_196,"Його хата була високо в горах , в Уторопах , і він жив там сам .."
text_197,"Колись , може , десять літ або й більше тому ми бачилися ."
text_198,"Могутній , з розкошланою бородою Вітмена .."
text_199,"Знов за вікном сніг , ми довго стоїмо на станціях .."
text_200,"Зараз , здається , Ходорів , батьківщина Калинця .."
text_201,Наш поїзд пропускає усіх ..
text_202,"Але мені нема куди поспішати , виступ аж о десятій , буде вже темно .."
text_203,"Організовує вечір молоденький поет , родом так само з гір , з Брустурів , столиці коників з сиру .."
text_204,"Не знаю , найбільше зрадію , аби він мені колись подарував такого білого коника , старосвітського , з вершником у сідлі .."
text_205,"На такому коні , мабуть можна одним махом перескочити Карпати .."
text_206,"Я хотів би прочитати щось твоє , може , « Світло і сповідь » ?"
text_207,"Там мадонни годин , здається , теж провіщають перший сніг .."
text_208,Ти там найсвітліший ..
text_209,"І ще хотілося би почитати уголос Лорку , довгий вірш пам’яті Вітмена .."
text_210,"Я так , може , віддячуся Тарасові і його засніженим горам .."
text_211,"Колись Довган — а він набагато краще його знав — напідпитку серед ночі найняв таксі і разом з Коцьким поїхали до нього .. Зеньо мені недавно у Тисмениці розповідає : Славко мене підбив — а це ж гори , ніч , сніг .."
